date,Trump,Clinton,Obama
09/25/2016,113,38,26
09/26/2016,1812,735,123
09/27/2016,97267,32353,5168
09/28/2016,3119,1075,212
09/29/2016,0,0,0
09/30/2016,23140,7345,2474
10/01/2016,0,0,0
10/02/2016,18268,5756,1572
10/03/2016,20900,8278,2212
10/04/2016,21032,8809,3035
10/05/2016,12901,4028,769
10/06/2016,15991,6572,2684
10/07/2016,6452,2530,1110
10/08/2016,68775,15087,2778
10/09/2016,49886,13062,2389
10/10/2016,106596,33451,5154
10/11/2016,12846,3984,812
10/12/2016,29573,9891,2658
10/13/2016,43176,13395,5456
10/14/2016,38004,11329,6090
10/15/2016,33321,9832,4003
10/16/2016,30749,8826,2696
10/17/2016,27375,8369,2793
10/18/2016,31083,9181,4428
10/19/2016,2941,861,412
